Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Gene Biotype	Transcript count
ENSDARG00000088390	nme4	3	14673001	14686568	protein_coding	3
ENSDARG00000095405	si:ch211-131e11.15	3	4720041	4721507	processed_transcript	1
ENSDARG00000071050	si:ch211-8c17.4	3	12416701	12418975	protein_coding	1
ENSDARG00000045900	agbl5	4	444235	467256	protein_coding	2
ENSDARG00000096897		23	14040336	14044608	protein_coding	1
ENSDARG00000025386	lsm14b	23	569612	583399	protein_coding	1
ENSDARG00000037747	si:ch211-160d14.1	1	7738614	7744635	protein_coding	1
ENSDARG00000063701	rreb1a	24	2381315	2415178	protein_coding	2
ENSDARG00000095141	si:ch211-93n23.3	13	8018576	8018904	processed_transcript	1
ENSDARG00000063570	dyrk1aa	10	207421	221073	protein_coding	5
ENSDARG00000097893	si:ch211-239b20.2	25	9883157	9892667	lincRNA	1
ENSDARG00000094410	si:dkey-4c15.14	22	1497655	1632207	processed_transcript	4
ENSDARG00000068011	si:ch211-255a21.2	5	14771134	14772113	processed_transcript	1
ENSDARG00000092913	si:dkey-54g2.3	20	12822007	12823899	lincRNA	1
ENSDARG00000012215	umps	9	11852734	11863302	protein_coding	2
ENSDARG00000037421	egr1	14	22333789	22337652	protein_coding	1
ENSDARG00000062972	hip1	15	15954405	16043794	protein_coding	4
ENSDARG00000058880	cldnj	15	2622695	2624165	protein_coding	1
ENSDARG00000037061	aldh9a1b	2	5709761	5734452	protein_coding	2
ENSDARG00000057093	kdm5ba	11	25753183	25785015	protein_coding	3
ENSDARG00000092520	si:dkey-250k15.10	16	13410869	13430977	protein_coding	1
ENSDARG00000013371	isoc2	16	14545332	14561307	protein_coding	2
ENSDARG00000062485	dock11	7	20390921	20543395	protein_coding	2
ENSDARG00000096397	si:dkey-276l13.5	6	9997884	10001580	antisense	1
ENSDARG00000052142	ACVR1B (2 of 2)	6	1958670	1967487	protein_coding	3
ENSDARG00000058392	adcy2a	16	10603007	10711101	protein_coding	1
ENSDARG00000095009	si:dkey-15h8.1	22	2966311	2970698	protein_coding	1
ENSDARG00000076251	irf3	12	5381039	5401175	protein_coding	3
ENSDARG00000093730	si:dkey-253d23.1	22	9934671	9936619	processed_transcript	1
ENSDARG00000079528	hivep1	19	3947244	4059578	protein_coding	4
ENSDARG00000034700	vegfab	4	5441937	5471073	protein_coding	5
ENSDARG00000014428	ppp2r5d	13	3887152	3958198	protein_coding	2
ENSDARG00000018621	slc6a19a	19	642500	656417	protein_coding	1
ENSDARG00000097744	si:ch73-223p23.1	15	16233077	16239241	lincRNA	1
ENSDARG00000058122	si:dkey-260j18.2	15	13555482	13566978	protein_coding	1
ENSDARG00000034060	elac2	3	11437439	11483866	protein_coding	4
ENSDARG00000077083	AVPR1A (2 of 2)	25	1608386	1616946	protein_coding	1
ENSDARG00000059064	rassf3	4	4412934	4464998	protein_coding	3
ENSDARG00000062821	slc6a15	18	15810942	15838297	protein_coding	1
ENSDARG00000069540	si:dkey-30c15.2	18	6985452	7002587	protein_coding	2
ENSDARG00000061714	si:dkey-45k15.1	13	6846633	6864424	processed_transcript	2
ENSDARG00000069884	si:dkey-112g5.7	13	8478001	8481116	protein_coding	1
ENSDARG00000086283	cnsta	17	11939217	12001155	protein_coding	2
ENSDARG00000045355	tceb1a	24	12887567	12892982	protein_coding	3
ENSDARG00000013741	lancl1	1	6518806	6541073	protein_coding	4
ENSDARG00000035694	stm	19	3700047	3730407	protein_coding	4
ENSDARG00000005699	ddx19	11	3585467	3597690	protein_coding	1
ENSDARG00000097827	LRP12	11	1622407	1685963	protein_coding	1
ENSDARG00000075343	csf1a	11	24199536	24231571	protein_coding	1
ENSDARG00000041735	tmem237a	9	13990611	14005169	protein_coding	4
ENSDARG00000089202	si:rp71-40n14.6	17	8725290	8732213	protein_coding	1
ENSDARG00000013539	ikzf1	13	15911857	15948447	protein_coding	5
ENSDARG00000086669	edn3b	23	12179208	12213067	protein_coding	2
ENSDARG00000059310	CD274	21	2474996	2503430	protein_coding	2
ENSDARG00000004243	asic4b	6	13515596	13598177	protein_coding	1
ENSDARG00000009779	mcl1a	19	358591	363093	protein_coding	1
ENSDARG00000045856	fgf6b	4	5053899	5056586	protein_coding	1
ENSDARG00000076364	EPB41L1	23	11970451	12121159	protein_coding	4
ENSDARG00000028228	zbtb18	13	11155907	11157538	protein_coding	1
ENSDARG00000097638	si:ch211-187b9.2	15	14648521	14684694	lincRNA	1
ENSDARG00000043173	CELA1 (4 of 7)	22	7518342	7521632	protein_coding	1
ENSDARG00000012505	u2af2a	16	14563893	14573413	protein_coding	2
ENSDARG00000043873	arid4a	17	11241382	11281965	protein_coding	4
ENSDARG00000092361	si:dkey-79f11.7	1	6938743	6947873	protein_coding	3
ENSDARG00000076518	mettl1	11	283725	309009	protein_coding	2
ENSDARG00000062222	mxra8a	11	25363482	25392345	protein_coding	1
ENSDARG00000011281	osbpl1a	22	16535779	16570512	protein_coding	2
ENSDARG00000096286	si:ch211-64c10.1	6	10430242	10447642	sense_intronic	2
ENSDARG00000059028	srrd	8	4634685	4644836	protein_coding	4
ENSDARG00000058693	cast	21	9989897	10081052	protein_coding	16
ENSDARG00000019150	foxa1	17	10280426	10283287	protein_coding	1
ENSDARG00000058332		23	10459149	10461780	protein_coding	1
ENSDARG00000053691	maea	14	22125134	22142335	protein_coding	1
ENSDARG00000040005	scfd2	20	22786153	23008792	protein_coding	2
ENSDARG00000075654	ccdc135	25	5039042	5052306	protein_coding	2
ENSDARG00000093469	znf653	3	14176506	14210811	protein_coding	1
ENSDARG00000092917	si:ch73-138e16.2	22	2446934	2452600	protein_coding	1
ENSDARG00000063412	cers1	22	4880634	4936478	protein_coding	1
ENSDARG00000068279	si:ch211-240b21.2	5	22475801	22479231	protein_coding	2
ENSDARG00000026840	arhgap23b	12	16323839	16408597	protein_coding	2
ENSDARG00000039346	ndufa5	4	4803655	4805868	protein_coding	2
ENSDARG00000022280	brd2a	19	7775502	7793210	protein_coding	4
ENSDARG00000076247	dlk2	13	3846564	3870433	protein_coding	2
ENSDARG00000076595	sema4ga	13	9090684	9125315	protein_coding	3
ENSDARG00000043933	il17a/f1	17	12573842	12576188	protein_coding	1
ENSDARG00000076286	si:dkey-125e8.1	7	3153952	3186202	protein_coding	2
ENSDARG00000071669	smyd5	14	23501722	23526764	protein_coding	1
ENSDARG00000018726	slco3a1	18	24857679	24960925	protein_coding	1
ENSDARG00000034855	ccnb3	7	24149000	24171790	protein_coding	3
ENSDARG00000095614	CACNA1E (2 of 2)	2	1185331	1301657	protein_coding	1
ENSDARG00000062385	flcn	16	15569921	15597418	protein_coding	2
ENSDARG00000057911		20	10151617	10161149	protein_coding	1
ENSDARG00000030108	sec22ba	2	9759839	9772558	protein_coding	3
ENSDARG00000095552	ogt.2	14	18587710	18605734	protein_coding	4
ENSDARG00000096391	dcun1d5	18	2472837	2489538	protein_coding	6
ENSDARG00000063100	psmd14	11	10896554	10914930	protein_coding	1
ENSDARG00000091135	RD3L	20	20785545	20794779	protein_coding	1
ENSDARG00000077840	meis2b	20	10286195	10307528	protein_coding	3
ENSDARG00000076434	ARHGAP22 (2 of 2)	12	2711596	2757229	protein_coding	1
ENSDARG00000069823	proca1	15	14464128	14468944	protein_coding	1
ENSDARG00000058650	dpm3	19	9156525	9159010	protein_coding	2
ENSDARG00000094715	si:ch211-255a21.4	5	14834207	14836121	processed_transcript	1
ENSDARG00000028346	tesca	5	12929285	12952804	protein_coding	1
ENSDARG00000043673	BEGAIN (1 of 2)	20	9533904	9599255	protein_coding	3
ENSDARG00000016710	rchy1	5	9540987	9554968	protein_coding	1
ENSDARG00000092198	si:dkey-33c12.8	13	8602850	8606033	protein_coding	1
ENSDARG00000075474	ZNF32 (1 of 4)	22	3081523	3089853	protein_coding	2
ENSDARG00000086838	ITGA2 (2 of 2)	10	8951527	8974690	protein_coding	3
ENSDARG00000058463	ndufab1a	1	8194184	8199549	protein_coding	2
ENSDARG00000075864	igsf9a	10	19057208	19122836	protein_coding	2
ENSDARG00000070084	phf10	13	5655874	5679048	protein_coding	2
ENSDARG00000026225	whsc1	13	12863008	12900008	protein_coding	1
ENSDARG00000031956	tmem63a	4	5538431	5564506	protein_coding	1
ENSDARG00000003328	fam178a	13	8982107	9021722	protein_coding	2
ENSDARG00000058940	C8H9orf116	8	12060384	12067805	protein_coding	3
ENSDARG00000057727	fut11	14	18508083	18522968	protein_coding	1
ENSDARG00000068050	agbl4	8	15825821	16510926	protein_coding	3
ENSDARG00000075812	kcnt2	2	11810646	11871023	protein_coding	3
ENSDARG00000094833	coa5	9	7123093	7130819	protein_coding	1
ENSDARG00000071224	ENDOD1 (8 of 13)	19	3800319	3803134	protein_coding	1
ENSDARG00000055563	rnasen	12	14450940	14495828	protein_coding	2
ENSDARG00000031712	grm3	18	8436830	8511408	protein_coding	2
ENSDARG00000010745	dnaja2l	18	5943008	5955293	protein_coding	1
ENSDARG00000020744	bdkrb1	17	2611654	2612733	protein_coding	1
ENSDARG00000086337	si:dkey-102g19.3	21	4960796	4965777	protein_coding	1
ENSDARG00000079372	si:ch211-264f5.6	19	6354742	6392621	protein_coding	2
ENSDARG00000008022	kif18a	7	33311274	33356363	protein_coding	2
ENSDARG00000002129	slc5a2	15	13572295	13595148	protein_coding	1
ENSDARG00000092973	si:dkeyp-82a1.3	8	21520407	21534933	protein_coding	1
ENSDARG00000012534	slc6a6a	8	7713715	7770153	protein_coding	2
ENSDARG00000093102	si:ch211-132g1.6	1	1653523	1656634	protein_coding	2
ENSDARG00000078308	spry2	1	4170919	4175021	protein_coding	1
ENSDARG00000078050	phf19	8	12857501	12920609	protein_coding	3
ENSDARG00000095123	si:ch211-45l19.2	8	10892314	10895927	processed_transcript	1
ENSDARG00000062469	hipk3a	25	15644092	15708500	protein_coding	2
ENSDARG00000029894	slc2a15a	13	28640899	28665688	protein_coding	1
ENSDARG00000052582	si:ch211-131e11.14	3	4728568	4732949	protein_coding	2
ENSDARG00000018881	apobec2a	22	616511	626888	protein_coding	1
ENSDARG00000075629	IFI30 (2 of 2)	11	7497028	7502275	protein_coding	2
ENSDARG00000070477	dnajc2	4	1630121	1645108	protein_coding	2
ENSDARG00000071555	zgc:153675	22	793038	797669	protein_coding	2
ENSDARG00000086214	ntrk3b	7	15509777	15629157	protein_coding	2
ENSDARG00000004782	fgfr3	13	13087865	13155654	protein_coding	3
ENSDARG00000038442	plcg1	23	2801266	2882866	protein_coding	3
ENSDARG00000015686	bmp6	24	7974762	8049198	protein_coding	2
ENSDARG00000056609	atad1b	12	18504453	18523632	protein_coding	1
ENSDARG00000061941	trpv4	5	21579305	21616638	protein_coding	1
ENSDARG00000021909	VSTM2A (1 of 2)	24	705014	712135	protein_coding	1
ENSDARG00000094627	DYNLT1 (2 of 2)	17	24430790	24432082	protein_coding	1
ENSDARG00000017853	prepl	13	10186453	10212378	protein_coding	1
ENSDARG00000075428	si:dkey-225i9.4	3	22212067	22214047	protein_coding	1
ENSDARG00000086650	si:dkeyp-27e10.6	4	8886299	8898578	protein_coding	3
ENSDARG00000090268	si:dkeyp-113d7.4	19	5963567	5970135	protein_coding	2
ENSDARG00000059406	raf1b	11	493230	527017	protein_coding	1
ENSDARG00000069752	ckba	13	15636050	15656647	protein_coding	5
ENSDARG00000093455	si:ch73-299h12.6	21	2599557	2609305	protein_coding	1
ENSDARG00000030349	cryba2a	6	13690806	13694235	protein_coding	4
ENSDARG00000096240	si:ch1073-299b15.4	8	470895	473178	antisense	1
ENSDARG00000024049	cry3	25	4286391	4311451	processed_transcript	2
ENSDARG00000045331	pkp4	6	12111414	12208090	protein_coding	2
ENSDARG00000089997	gngt2b	12	3858415	3861563	protein_coding	2
ENSDARG00000041041	cxcr3.2	16	13568133	13575310	protein_coding	1
ENSDARG00000094999	si:ch211-254p10.3	16	20982629	20984020	protein_coding	1
ENSDARG00000078299	COLGALT2 (2 of 2)	2	6918043	6939984	protein_coding	2
ENSDARG00000017874	prkri	7	21949415	21966407	protein_coding	2
ENSDARG00000096628	si:ch73-119o17.1	12	15244384	15249388	protein_coding	1
ENSDARG00000067975	atpif1a	19	37348	38889	protein_coding	2
ENSDARG00000007783	blk	20	19247191	19269016	protein_coding	2
ENSDARG00000043973	znf292b	20	217311	232690	protein_coding	1
ENSDARG00000026540	ppp4r2a	23	10911416	10933647	protein_coding	2
ENSDARG00000031382	reep2	14	22597983	22619272	protein_coding	1
ENSDARG00000052580	si:ch211-12p12.1	3	7159265	7166970	processed_transcript	2
ENSDARG00000013307	rpl19	3	15849892	15852423	protein_coding	2
ENSDARG00000071250	tmem79a	19	770242	775540	protein_coding	2
ENSDARG00000017386	sobpb	4	587564	606455	protein_coding	2
ENSDARG00000004497	tspan33	4	14022752	14034030	protein_coding	3
ENSDARG00000015803	smcr8b	1	7610782	7616134	protein_coding	1
ENSDARG00000040116	znf366	8	940547	964236	protein_coding	2
ENSDARG00000095069	si:dkey-74i2.2	22	13241029	13251615	processed_transcript	1
ENSDARG00000061682	bicc1a	17	20813951	20879413	protein_coding	2
ENSDARG00000095577	cybrd1	9	3487274	3493029	protein_coding	2
ENSDARG00000024846	cops8	9	24929056	24939550	protein_coding	2
ENSDARG00000058532	si:dkey-278k10.4	16	8907768	8911968	protein_coding	2
ENSDARG00000014825	si:dkeyp-69b9.6	16	15370703	15371690	processed_transcript	1
ENSDARG00000014626	dlx3b	12	6074362	6077882	protein_coding	1
ENSDARG00000089860	ATXN7L1	4	3304148	3317629	protein_coding	2
ENSDARG00000059308	golt1bb	25	3397835	3403479	protein_coding	1
ENSDARG00000040917	cbfb	18	22774824	22852023	protein_coding	2
ENSDARG00000075249	fam171a2	3	21493719	21561539	protein_coding	1
ENSDARG00000087933	zgc:174972	20	30372	37643	protein_coding	2
ENSDARG00000017720		3	6165408	6181759	protein_coding	2
ENSDARG00000071219	pik3r3a	2	3536257	3567452	protein_coding	3
ENSDARG00000057253	si:dkey-236a14.13	2	18561839	18564712	protein_coding	3
ENSDARG00000087476	cbln20	15	571089	575029	protein_coding	1
ENSDARG00000095306	si:dkey-22p6.2	9	11161903	11163586	processed_transcript	1
ENSDARG00000075924		6	6767670	6839105	protein_coding	2
ENSDARG00000011488	sirt2	15	6672373	6693579	protein_coding	1
ENSDARG00000067979	gtf3c5	21	9791262	9807117	protein_coding	1
ENSDARG00000033259	dis3l2	2	5483498	5527479	protein_coding	2
ENSDARG00000074564	fam57bb	12	4330735	4346535	protein_coding	2
ENSDARG00000059327	gata2a	11	3909992	3922643	protein_coding	3
ENSDARG00000062973	ttll7	11	8127302	8272281	protein_coding	2
ENSDARG00000095204	si:ch211-197g22.1	18	30074049	30076109	processed_transcript	4
ENSDARG00000095539	si:dkeyp-82a1.8	8	21532451	21541466	protein_coding	1
ENSDARG00000042116	trim35-40	25	17855351	17863129	protein_coding	2
ENSDARG00000007959	hibadhb	16	22955445	22973946	protein_coding	4
ENSDARG00000088130	si:dkey-30c15.10	18	6890467	6911422	protein_coding	3
ENSDARG00000070543	grin2ab	1	7839804	7993986	protein_coding	2
ENSDARG00000005274	rad52	25	21769145	21785683	protein_coding	3
ENSDARG00000092921	gnb5a	25	4850245	4863511	protein_coding	2
ENSDARG00000010052	ndrg3b	23	14944535	15101965	protein_coding	10
ENSDARG00000063056	tulp4b	17	8023441	8051060	protein_coding	2
ENSDARG00000041304	trak1	16	7042613	7129709	protein_coding	3
ENSDARG00000037425	s100a10a	19	9229419	9230809	protein_coding	1
ENSDARG00000077336	si:ch1073-181h11.2	22	2293364	2301104	protein_coding	3
ENSDARG00000057992	fstb	10	9058688	9067308	protein_coding	2
ENSDARG00000029189	ANO7	15	3990204	4023236	protein_coding	2
ENSDARG00000070512	tnrc5	1	9638795	9649733	protein_coding	1
ENSDARG00000038382	zgc:113363	8	8276901	8290354	protein_coding	2
ENSDARG00000021048	clptm1l	19	1979655	1994820	protein_coding	1
ENSDARG00000063321	rabl2	18	7102776	7112095	protein_coding	2
ENSDARG00000071701	zgc:162941	14	21902256	21909303	protein_coding	1
ENSDARG00000096864	si:dkey-110g7.10	3	24453110	24462471	lincRNA	1
ENSDARG00000005273	ergic1	14	19668926	19714971	protein_coding	2
ENSDARG00000021443	zfp36l1b	20	9756205	9761277	protein_coding	1
ENSDARG00000058765	or128-2	15	5097067	5097984	protein_coding	1
ENSDARG00000062702	ankmy1	22	15697633	15715344	protein_coding	3
ENSDARG00000016607	echdc2	20	16245544	16263709	protein_coding	3
ENSDARG00000061664	C9H3orf70 (1 of 2)	9	12681353	12701026	protein_coding	2
ENSDARG00000068691	kctd4	9	19494082	19495643	protein_coding	1
ENSDARG00000025131	lbx2	14	5391971	5395171	protein_coding	1
ENSDARG00000093094	si:ch211-255l14.1	25	13437658	13443593	protein_coding	1
ENSDARG00000057716	acrc	14	18567252	18587004	protein_coding	2
ENSDARG00000037537	fam58a	23	20257506	20265764	protein_coding	1
ENSDARG00000063250	spata2	23	3526865	3534787	protein_coding	1
ENSDARG00000077577	ntsr1	23	16601418	16696416	protein_coding	2
ENSDARG00000055752	npas4a	14	31506584	31512448	protein_coding	1
ENSDARG00000054894	EMP3 (2 of 2)	23	18949761	19185744	protein_coding	3
ENSDARG00000040247	oxgr1a.3	1	1817216	1818205	protein_coding	1
ENSDARG00000096565	si:dkey-45e15.9	16	23016015	23019937	antisense	4
ENSDARG00000012013	cpa6	24	19433056	19468998	protein_coding	3
ENSDARG00000069260	rec8b	24	12592132	12636552	protein_coding	1
ENSDARG00000069601	snx30	10	4944167	4965331	protein_coding	2
ENSDARG00000015208	rbb4l	11	12802549	12826559	protein_coding	5
ENSDARG00000092842	si:ch211-93g21.2	21	6918203	6920061	protein_coding	1
ENSDARG00000058328	lsm7	22	10862661	10866197	protein_coding	1
ENSDARG00000043021	slc26a11	22	11609870	11630555	protein_coding	1
ENSDARG00000079610	akap9	19	530667	565004	protein_coding	2
ENSDARG00000069420	trim23	10	11756201	11806249	protein_coding	2
ENSDARG00000044132	ogn	22	10564753	10570030	protein_coding	1
ENSDARG00000055502	cicb	16	12870558	12926688	protein_coding	2
ENSDARG00000043396	fndc4a	20	19285726	19344032	protein_coding	2
ENSDARG00000094665	DUSP13 (3 of 3)	13	25077468	25078063	protein_coding	1
ENSDARG00000038278	ptgir	15	9252646	9319765	protein_coding	2
ENSDARG00000071596	neto1l	24	15801850	16040702	protein_coding	1
ENSDARG00000016897	fbxo15	24	15558551	15573343	protein_coding	2
ENSDARG00000052912	si:dkey-57n24.6	11	27603282	27617270	protein_coding	3
ENSDARG00000075121	hbegfa	14	7015235	7018245	protein_coding	2
ENSDARG00000000018	nrf1	4	14146777	14169064	protein_coding	2
ENSDARG00000019636	yif1a	14	31623295	31629132	protein_coding	2
ENSDARG00000058336	SLC25A22 (2 of 2)	7	13809355	13827163	protein_coding	2
ENSDARG00000070775	cyp2x9	25	17753495	17760328	protein_coding	1
ENSDARG00000032430	ppp2r1b	15	20706322	20734481	protein_coding	2
ENSDARG00000061976	sema6bb	8	19461548	19576851	protein_coding	1
ENSDARG00000079416	zgc:174895	15	14475551	14487020	protein_coding	4
ENSDARG00000075542	zfhx4	24	23850262	23928171	protein_coding	2
ENSDARG00000053383	rprma	9	4615664	4616695	protein_coding	1
ENSDARG00000003191	pkmb	25	30026828	30180180	protein_coding	3
ENSDARG00000013128	pdk1	9	3133570	3148404	protein_coding	1
ENSDARG00000035910	ZNF281 (2 of 2)	12	17158557	17173902	protein_coding	2
ENSDARG00000071149	zgc:112023	6	8625868	8632744	protein_coding	3
ENSDARG00000040779	med16	11	14345462	14384747	protein_coding	1
ENSDARG00000062904	idua	5	9440923	9462855	protein_coding	2
ENSDARG00000008835	A2ML1 (1 of 12)	3	3966403	3981363	protein_coding	2
ENSDARG00000093574	si:ch73-256j6.4	22	4526228	4534148	protein_coding	1
ENSDARG00000026692	olfcg4	14	17890051	17893056	protein_coding	1
ENSDARG00000018047	brms1lb	20	16875516	16889770	protein_coding	2
ENSDARG00000057032	ppm1nb	21	20195789	20201117	protein_coding	1
ENSDARG00000097140	si:ch211-280a10.2	24	11977337	11978288	lincRNA	1
ENSDARG00000074655	oscp1a	19	2908407	2942695	protein_coding	3
ENSDARG00000031875	trpa1b	24	13539520	13618241	protein_coding	2
ENSDARG00000096232	si:dkey-176g1.4	6	10899711	10917316	lincRNA	1
ENSDARG00000007407	barx1	11	28419933	28422559	protein_coding	1
ENSDARG00000088717	C6H2orf40 (2 of 2)	6	15168513	15199968	protein_coding	2
ENSDARG00000045025	ift52	11	1498369	1511287	protein_coding	1
ENSDARG00000095553	lenep	16	24959523	24961740	protein_coding	1
ENSDARG00000090600	si:ch211-213a13.1	22	8919295	8935574	processed_transcript	2
ENSDARG00000096502	si:ch211-278f21.5	20	22252076	22252668	lincRNA	1
ENSDARG00000094892	cenph	8	17687276	17693094	protein_coding	1
ENSDARG00000038399	polr3h	3	5689082	5699669	protein_coding	2
ENSDARG00000014761	mfsd6l	3	25950827	25953846	protein_coding	1
ENSDARG00000095309	si:dkey-79f11.9	1	6974998	6978242	protein_coding	1
ENSDARG00000073695	mamdc2b	10	15677431	15701436	protein_coding	1
ENSDARG00000078551	zgc:171242	5	13717802	13719768	protein_coding	1
ENSDARG00000097666	arid4a	17	11282495	11283034	lincRNA	1
ENSDARG00000092764	si:dkey-57a22.14	9	23029806	23030494	protein_coding	1
ENSDARG00000086620	gckr	17	5624859	5639741	protein_coding	2
ENSDARG00000044015	gfra2b	10	19744092	19835754	protein_coding	2
ENSDARG00000093287	si:ch211-260p3.6	4	16438870	16444404	processed_transcript	1
ENSDARG00000060069	isoc1	10	16497983	16519602	protein_coding	2
ENSDARG00000017047	slc27a4	10	10704776	10748706	protein_coding	1
ENSDARG00000024874	dock4b	4	6222621	6379374	protein_coding	3
ENSDARG00000003944	NMUR1 (1 of 2)	2	13168088	13174715	protein_coding	1
ENSDARG00000094603	SSC5D (3 of 9)	4	10148733	10163063	protein_coding	1
ENSDARG00000030694	atp6v1e1b	4	5113375	5120584	protein_coding	1
